Ticker,Algorithm,MSE,RMSE,MAE
AAPL,ARIMA,0.21144245335364875,0.45982872175805717,0.3834913207825701
AAPL,XGBoost,0.2227527037612207,0.471966846040292,0.396123499734651
AAPL,Prophet,0.05511155562925236,0.23475850491356506,0.2141847582892081
AAPL,LSTM,0.09961781965011202,0.3156229073595768,0.20007189158084338
GOOGL,ARIMA,0.08677219542722164,0.29457120603891623,0.2596578737103741
GOOGL,XGBoost,0.10222209608595857,0.31972190429490216,0.2876585432442715
GOOGL,Prophet,0.042170823036114045,0.20535535794352688,0.1833900589377544
GOOGL,LSTM,0.05907920081602271,0.24306213365315196,0.18804158782055855
MSFT,ARIMA,0.23001912337107988,0.47960308940944063,0.4271784403222141
MSFT,XGBoost,0.23690172189528302,0.4867255098053553,0.4351337384472435
MSFT,Prophet,0.013901443348410541,0.11790438222733937,0.10112615857889147
MSFT,LSTM,0.19290654900467438,0.43921128059815856,0.4159040477333468
AMZN,ARIMA,0.09896538846077255,0.31458764829657976,0.29618831854364736
AMZN,XGBoost,0.12986075660883645,0.36036197997130115,0.34439925739172733
AMZN,Prophet,0.19360737775796127,0.44000838373599344,0.4078840789837991
AMZN,LSTM,0.05440338896165587,0.2332453407072816,0.2051952235372017
NVDA,ARIMA,0.11901000848543629,0.3449782724831178,0.29496014083087035
NVDA,XGBoost,0.11410423567430975,0.33779318476593,0.2867153242553541
NVDA,Prophet,0.9665459080619896,0.9831306668301979,0.9731720735367523
NVDA,LSTM,0.3315505975035817,0.5758043048671846,0.5383217853730525
