Date,AAPL,AMZN,GOOGL,MSFT,NVDA
2010-01-04,-0.979602918476149,-0.9738049590312703,-0.8331865099289992,-0.9135246400414273,-0.9367323995386043
2010-01-05,-0.9792592419851754,-0.9729866927541457,-0.8356010456983606,-0.913412629211205,-0.9349548405766298
2010-01-06,-0.9824265344508074,-0.9755140061954206,-0.8493621449553322,-0.9155387979104648,-0.9341648447940819
2010-01-07,-0.9827888023376521,-0.9778445295456386,-0.8617498547961455,-0.9191195513036834,-0.9366007335748464
2010-01-08,-0.9814884619572424,-0.9741985589694417,-0.8548211447960955,-0.9167696438710575,-0.9363373930909252
2010-01-11,-0.9832253330119538,-0.9775234343393394,-0.8556172113403604,-0.9211335394164739,-0.9380491019582103
2010-01-12,-0.9854452426009384,-0.980589367060559,-0.8649167417967906,-0.9233714926042933,-0.9421308751807861
2010-01-13,-0.982723820562984,-0.978766376833446,-0.8678824314089444,-0.9202384430194697,-0.940550832277259
2010-01-14,-0.9838570146023152,-0.980589367060559,-0.865467895639583,-0.913412629211205,-0.9423942156647073
2010-01-15,-0.9871079389790738,-0.9808068812561754,-0.8740849926283047,-0.9145315492196991,-0.945817650512088
2010-01-18,-0.9871079389790738,-0.9808068812561754,-0.8740849926283047,-0.9145315492196991,-0.945817650512088
2010-01-19,-0.9786462545867128,-0.980320062359601,-0.8674187750351005,-0.9118461751505629,-0.9437108838586923
2010-01-20,-0.9817206488135763,-0.9822155474405572,-0.8737263465857964,-0.9175529557795021,-0.9441717746266819
2010-01-21,-0.9851202162464232,-0.9813454906580912,-0.8714779824801525,-0.9240429634387625,-0.9462126655161724
2010-01-22,-0.9947057255544456,-0.9867212226249691,-0.9003212991950382,-0.9357921893821061,-0.9500969483495164
2010-01-25,-0.9897643792423599,-0.9878812983349239,-0.9090783988183764,-0.9317639302294469,-0.9482535307364472
2010-01-26,-0.9870985992256978,-0.9887410029431389,-0.9069613143376484,-0.9297497440677017,-0.9517428242349226
2010-01-27,-0.9852966729705841,-0.9853539848936489,-0.9072412527638948,-0.9278474838580553,-0.9488460703553843
2010-01-28,-0.9932753335138187,-0.9819566047918792,-0.9140737088638027,-0.9335542361942868,-0.9525328542430914
2010-01-29,-0.999990733672358,-0.9825987853264488,-0.9178792471761887,-0.9445202351073092,-0.9571412656514834
2010-02-01,-0.997510735448086,-0.9893728313034575,-0.9151847729805811,-0.9419465323559013,-0.9493727598796319
2010-02-02,-0.9964612320604687,-0.9901496691275207,-0.9168469575186586,-0.94138712893707,-0.9482535307364472
2010-02-03,-0.9933310930162853,-0.9891346028813103,-0.9083610733118666,-0.9394849818982548,-0.9473318946593571
2010-02-04,-1.0,-0.9924076877458665,-0.9206437059783581,-0.9483247555266021,-0.9537836894551974
2010-02-05,-0.9968327369046617,-0.990905792725053,-0.916698231874342,-0.9463105976575648,-0.9516769826966384
2010-02-08,-0.9980774205786325,-0.9914858404580591,-0.9147911346347919,-0.9496675840247093,-0.9518744816422753
2010-02-09,-0.9961547089909437,-0.9902428880859236,-0.9121928474963399,-0.9464224670242478,-0.9527303446323231
2010-02-10,-0.9971485409869754,-0.9909368690038636,-0.9139337396506795,-0.9466462623430298,-0.9506894366300221
2010-02-11,-0.9938512262314199,-0.9881091745828201,-0.9122278397996207,-0.9451915078928238,-0.9457518089738037
2010-02-12,-0.9922628513813285,-0.988554565026333,-0.9150972755116324,-0.9473176765920834,-0.9442375990521557
2010-02-15,-0.9922628513813285,-0.988554565026333,-0.9150972755116324,-0.9473176765920834,-0.9442375990521557
2010-02-16,-0.9894578268025414,-0.9907607832613086,-0.9079410988295107,-0.9411344750563213,-0.9421308751807861
2010-02-17,-0.9902473002954586,-0.992024449859975,-0.9106443628778051,-0.9384364541467936,-0.9410116973760329
2010-02-18,-0.9898943721619898,-0.990191107458611,-0.9062614348505393,-0.9341644250236383,-0.9487143872788159
2010-02-19,-0.9910647343079165,-0.9907711453135885,-0.9084135450560412,-0.9364128465133474,-0.9493069012285372
